"phrase", "occurances"
salamandra, 1
samandarine, 1
samandarone, 1
samandenone, 1
sanguinarine, 1
h, 1
satratoxin, 1
sclerocitrin, 1
scopolamine, 1
scorpion, 1
sempervirine, 1
senecionine, 1
senkirkine, 1
sesquiterpenoids, 1
slotoxin, 1
snake, 1
solanine, 1
spider, 1
j, 1
sporidesmin, 1
sterigmatocystin, 1
steroid, 1
stizolobate, 1
stizolobinate, 1
stromatoxin, 1
strophanthidin, 1
strychnine, 1
t-2, 1
taicatoxin, 1
tazettine, 1
tentoxin, 1
tenuazonic, 1
terpendole, 1
tertiapin, 1
tetrodotoxin, 1
tetrodotoxins, 1
omega-aga-ia, 1
omega-aga-iiia, 1
omega-aga-iva, 1
trichothecenes, 1
tropan, 1
tubocurarine, 1
tutin, 1
urushiol, 1
ustalic, 1
valinopine, 1
veratramine, 1
veratridine, 1
verruculogen, 1
vespakinin, 1
vinblastine, 1
vincristine, 1
vindoline, 1
vomitoxin, 1
kinins, 1
wasp, 1
yessotoxin, 1
zearalenone, 1
