Coptis rhizome
Evodia fruit
Saffron
Agar
Tragacanth
Gypsum
Acacia
Belladonna extract
Benzoin
Belladonna root
Cherry bark extract
Senna extract
Cascara sagrada
Capsicum
Cardamon
Melilot extract
Opium
Clove
Quercus salicina extract
Ipecac
Scopolia extract
Fennel oil
Senega
Apricot kernel water
Geranium herb
Glycyrrhiza
Nux vomica
Condurango fluidextract
Swertia herb
Bitter orange peel
Cinnamon fruit
Mallotus bark
Forsythia fruit
Lithospermum root
Cantharides tincture
Yellow beewax
White beeswax
Orange oil
Rice starch
Malt extract
Lard
Poison oak extract
Eucalyptus oil
Mentha herb
Plantago seed
Capsicum tincture
Mentha oil
Castor oil
Nux vomica tincture
Orange peel tincture
Cinnamomum obtusifolium bark
Gambir
Sweet hydrangea leaf
Aloe
Artemisia capillaris flower
Fennel
Bearberry leaf
Rose fruit
Corydalis tuber
Astragalus root
Scutellaria root
Phellodendron bark
Polygala root
Prunella spike
Zedoary
Pueraria root
Clematis root
Termeric
Lindera root
Polygonum root
Japanese valerian
Trichosanthes root
Processed ginger
Platycodon root
Chrysanthemum flower
Catalpa fruit
Immature orange
Notopterygium rhizome
Apricot kernel
Lycium fruit
Sophora root
Schizonepeta spike
Cinnamon bark
Cinnamon oil
Cassia seed
Pharbitis seed
Gentian
Safflower
Red ginseng
Cyperus rhizome
Magnolia bark
Oriental bezoar
Achyranthes bidentata root
Burdock fruit
Schisandra fruit
Calumba
Condurango
Bupleurum root
Asiasarum root
Smilax rhizome
Gardenia fruit
Cornus fruit
Zanthoxylum fruit
Jujube seed
Dioscorea rhizome
Rehmannia root
Lycium bark
Tribulus fruit
Peony root
Cnidium monnieri fruit
Plantago herb
Houttuynia herb
Amomum seed
Ginger
Cimicifuga rhizome
Magnolia flower
Cinnamomum burmannii bark
Cnidium rhizome
Nuphar rhizome
Toad venom
Senna leaf
Atractylodes lancea rhizome
Mulberry bark
Sappan wood
Perilla herb
Rheum palmatum
Rheum tanguticum rhizome
Jujube
Alisma rhizome
Panax rhizome
Anemarrhena rhizome
Uncaria hook
Polyporus sclerotium
Citrus unshiu peel
Gastrodia tuber
Asparagus tuber
Benincasa seed
Japanese angelica root
Peach kernel
Eucommia bark
Picrasma wood
Panax ginseng root
Lonicera leaf and stem
Fritillaria bulb
Ophiopogon tuber
Honey
Glehnia root
Pinellia tuber
Angelica dahurica root
Atractylodes rhizome
Loquat leaf
Areca
Poria sclerotium
Processed aconitum carmicha daughter root
Sinomenium stem
Imperata rhizome
Saposhnikovia root
Moutan bark
Oyster shell
Ephedra herb
Digenea
Hemp fruit
